id,label,desc,birth_time,birth_precision,birth_placedeath_time,death_precision,death_place
Q9575,Harivansh Rai Bachchan,"Indian Hindi poet, Father of Amitabh Bachchan",+1907-11-27T00:00:00Z,11,Q1027118,+2003-01-18T00:00:00Z,11,Q1027118
Q9588,Richard Nixon,37th President of the United States of America,+1913-01-09T00:00:00Z,11,Q493518,+1994-04-22T00:00:00Z,11,Q493518
Q9605,Sarah Allen,American software developer,+2000-00-00T00:00:00Z,7,,,,
Q9671,Michael Schumacher,German racing driver,+1969-01-03T00:00:00Z,11,Q4060,,,Q4060
Q9675,Kelly Smith,English footballer,+1978-10-29T00:00:00Z,11,Q2598,,,Q2598
Q9753,Emperor Daizong of Tang,emperor of the Tang Dynasty,+0727-01-09T00:00:00Z,11,Q187136,+0779-05-23T00:00:00Z,11,Q187136
Q9760,Emperor Shunzong of Tang,emperor of the Tang Dynasty,+0761-01-01T00:00:00Z,9,Q6501000,+0806-02-11T00:00:00Z,11,Q6501000
Q9983,Zhengtong Emperor,emperor of the Ming Dynasty,+1427-11-29T00:00:00Z,11,Q956,+1464-02-23T00:00:00Z,11,Q956
Q9994,Hongzhi Emperor,emperor of the Ming Dynasty,+1470-07-30T00:00:00Z,11,Q956,+1505-06-08T00:00:00Z,11,Q956
Q10007,Zhengde Emperor,emperor of the Ming Dynasty,+1491-10-26T00:00:00Z,11,Q956,+1521-04-20T00:00:00Z,11,Q956
Q10058,Justine Smethurst,Australian softball player,+1987-01-14T00:00:00Z,11,Q3141,,,Q3141
